Latitude,Longitude,Name
40.694449,-73.986030,Library
40.694192, -73.986170,MetrotechCommon-MidLeft
40.693844,-73.986200,MetrotechCommon-LowerLeft
40.693878,-73.986020,MetrotechCommon-Triangle-LowerLeft
40.693850,-73.985346,MetrotechCommon-Triangle-LowerRight
40.693938,-73.985684,MetrotechCommon-Triangle-Center
40.694118,-73.985670,MetrotechCommon-Triangle-Peak
40.694286,-73.985757,MetrotechCommon-Walk-UpperCenter
40.694265,-73.985267,MetrotechCommon-Walk-UpperRight
40.694332,-73.985081,MetrotechCommon-Wasserman
40.693815,-73.985191,MetrotechCommon-MyrtleAve






